team,attendance,Attend/G,Est. Payroll,Season
Los Angeles Dodgers,3743527.0,46216.0,254161000.0,2013
Miami Marlins,1586322.0,19584.0,24761900.0,2013
Milwaukee Brewers,2531105.0,31248.0,86945000.0,2013
Minnesota Twins,2477644.0,30588.0,63042500.0,2013
New York Mets,2135657.0,26366.0,69425860.0,2013
New York Yankees,3279589.0,40489.0,246534750.0,2013
Oakland Athletics,1809302.0,22337.0,69440000.0,2013
Philadelphia Phillies,3012403.0,37190.0,150860000.0,2013
Pittsburgh Pirates,2256862.0,27862.0,99230000.0,2013
San Diego Padres,2166691.0,26749.0,65988600.0,2013
San Francisco Giants,3369106.0,41087.0,139845667.0,2013
Seattle Mariners,1761546.0,21747.0,78887000.0,2013
St. Louis Cardinals,3369769.0,41602.0,112583000.0,2013
Tampa Bay Rays,1510300.0,18646.0,71163500.0,2013
Texas Rangers,3178273.0,38759.0,139261200.0,2013
Toronto Blue Jays,2536562.0,31316.0,124517800.0,2013
Washington Nationals,2652422.0,32746.0,112493250.0,2013
Arizona Diamondbacks,2073730.0,25602.0,89926500.0,2014
Atlanta Braves,2354305.0,29065.0,108081500.0,2014
Baltimore Orioles,2464473.0,30426.0,109097500.0,2014
Boston Red Sox,2956089.0,36495.0,134628929.0,2014
Chicago Cubs,2652113.0,32742.0,59800500.0,2014
Chicago White Sox,1650821.0,20381.0,87475500.0,2014
Cincinnati Reds,2476664.0,30576.0,102230000.0,2014
Cleveland Indians,1437393.0,17746.0,73509399.0,2014
Colorado Rockies,2680329.0,33090.0,95403500.0,2014
Detroit Tigers,2917209.0,36015.0,169135500.0,2014
Houston Astros,1751829.0,21628.0,44736800.0,2014
Kansas City Royals,1956482.0,24154.0,89804075.0,2014
Los Angeles Angels of Anaheim,3095935.0,38221.0,128667000.0,2014
Los Angeles Dodgers,3782337.0,46696.0,233386026.0,2014
Miami Marlins,1732283.0,21386.0,42365400.0,2014
Milwaukee Brewers,2797384.0,34536.0,109567000.0,2014
Minnesota Twins,2250606.0,27785.0,87044000.0,2014
New York Mets,2148808.0,26528.0,82663615.0,2014
New York Yankees,3401624.0,41995.0,258118959.0,2014
Oakland Athletics,2003628.0,24736.0,89160900.0,2014
Philadelphia Phillies,2423852.0,29924.0,176444967.0,2014
Pittsburgh Pirates,2442564.0,30155.0,80729000.0,2014
San Diego Padres,2195373.0,27103.0,76662100.0,2014
San Francisco Giants,3368697.0,41589.0,163510167.0,2014
Seattle Mariners,2064334.0,25486.0,95471000.0,2014
St. Louis Cardinals,3540649.0,43712.0,129932500.0,2014
Tampa Bay Rays,1446464.0,17858.0,77814300.0,2014
Texas Rangers,2718733.0,33565.0,129801239.0,2014
Toronto Blue Jays,2375525.0,29327.0,136466200.0,2014
Washington Nationals,2579389.0,31844.0,137235080.0,2014
Arizona Diamondbacks,2080145.0,25681.0,64434000.0,2015
Atlanta Braves,2001392.0,24709.0,104037500.0,2015
Baltimore Orioles,2281202.0,29246.0,112989833.0,2015
Boston Red Sox,2880694.0,35564.0,183931900.0,2015
Chicago Cubs,2919122.0,36039.0,115306610.0,2015
Chicago White Sox,1755810.0,21677.0,112889700.0,2015
Cincinnati Reds,2419506.0,29870.0,111572286.0,2015
Cleveland Indians,1388905.0,17361.0,59163766.0,2015
Colorado Rockies,2506789.0,30948.0,96438600.0,2015
Detroit Tigers,2726048.0,33655.0,172284750.0,2015
Houston Astros,2153585.0,26587.0,93256200.0,2015
Kansas City Royals,2708549.0,33439.0,121590475.0,2015
Los Angeles Angels of Anaheim,3012765.0,37195.0,131522500.0,2015
Los Angeles Dodgers,3764815.0,46479.0,265140429.0,2015
Miami Marlins,1752235.0,21633.0,71231500.0,2015
Milwaukee Brewers,2542558.0,31390.0,70869500.0,2015
Minnesota Twins,2220054.0,27408.0,107755000.0,2015
New York Mets,2569753.0,31725.0,98874473.0,2015
New York Yankees,3193795.0,39430.0,214051957.0,2015
Oakland Athletics,1768175.0,21829.0,64016001.0,2015
